,Title,Company,Experience,Location,Pay,Description
144,Business System Analyst   Oracle Fusion HCM,Varite,5-6 Yrs,Pune,Not disclosed,Business System Analyst Analyst Payroll HCM Performance management HRIS Techno functional Agile
145,Business Intelligence Analyst,Franklin Templeton International,2-6 Yrs,Hyderabad,Not disclosed,Data management Process improvement Analytical Workflow VB Macros Information technology Analytics
146,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
147,Business Analyst,Novo Nordisk Centre (India) Pvt Ltd,5-7 Yrs,Bengaluru,Not disclosed,SAP QM Web Technologies sap qa management Release Management Business Analysis Solution Management Web UI Super User
148,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
149,Sr IT Business Analyst,Motorola Solutions,5-8 Yrs,Bengaluru(Manayata Tech Park),"8,50,000 - 14,00,000 PA.",Enterprise Architecture Data Quality Cloud Computing Data Analysis agile Data Architecture Tableau JIRA
150,Business Analyst,Think and Learn Private Limited,2-4 Yrs,Bengaluru(Bhavani Nagar),Not disclosed,primary research secondary research business modeling advanced excel presentation skills business analysis international business market research
151,Senior Business Analyst,Altisource Business Solutions Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,Business process Data analysis Business Analyst Project management Analytical Employee engagement Data Processor Executive management
152,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
153,Opening For Business Analyst(blr) at Annalect,Omnicom Media Group India Private Limited,3-5 Yrs,Bengaluru,Not disclosed,Technical Documentation uml product owner vcs agile business intelligence reporting sql
154,Business Analyst,L A Consultancy,2-5 Yrs,"Chennai, Mumbai, Kochi, Bengaluru",Not disclosed,generate insight and recommend process flow including technical analysis of key Functional problems interpret results operational and business analysis and process modeling.
155,Business Analyst,Collabera Technologies Private Limited,3-5 Yrs,Vadodara,Not disclosed,Client Communication brd FRD Technical Writing
156,RPA Business Analyst,Optum Global Solutions (India) Private Limited,4-6 Yrs,"Gurgaon, India",Not disclosed,Rpa Project Management Oracle SQL SCOPE Scrum Master Feasibility Analysis Digital Strategy Visio
157,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
158,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
159,Business Analyst - Healthcare or Hospitality Industry,S2 INFOTECH INTERNATIONAL LIMITED,4-5 Yrs,Mumbai(Nariman Point +1),Not disclosed,Hospitality Communication Skills requirement gathering business analysis Healthcare business analyst
160,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
161,Urgent Opening For Business analyst ( busineess development ),Focus Management Consultants Pvt Ltd.,0-3 Yrs,"Pune, Mumbai",Not disclosed,international sales inside sales international business development international marketing international sales executive software sales it solution sales it sales executive
162,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
163,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
164,Sr.Business Analyst,Valence Health,2-4 Yrs,Pune,Not disclosed,Statistical analysis Business Analyst Business analysis Reconciliation CMS business rules Healthcare Test cases
165,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
166,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Chennai,Not disclosed,Microstrategy Data analysis Change management Data management Business analysis Project management Gap analysis Visio
167,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
168,BA / Senior Business Analyst,Odessa Technologies,3-8 Yrs,Bengaluru,Not disclosed,ERP Bfsi MIS Consulting Agile Healthcare Scrum microsoft
169,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
170,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
171,Merilytics - Business Analyst - Data Analytics -iit/nit/bits,MERITUS INTELYTICS PRIVATE LIMITED,0-3 Yrs,Hyderabad,Not disclosed,excel analytics python data analysis business analysis problem solving sql statistics
172,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
173,Business Analyst,Philips India Limited,4-9 Yrs,Bengaluru,Not disclosed,Computer science Nutrition Business analysis Healthcare Support services HTML Scheduling medical records
174,Business Analyst with Health Care Domain,ITC Infotech India Ltd,3-5 Yrs,Bengaluru,"5,00,000 - 13,00,000 PA.",User Acceptance Testing Wireframing MS Visio Waterfall Brd UML User Stories Agile
175,Business Analyst - IAM,Capgemini Technology Services India Limited,3-6 Yrs,Bengaluru,Not disclosed,Process analysis cyber security Business Analyst Business analysis Information security Banking Risk analysis Financial services
176,Senior Business Analyst,CGI Information Systems and Management Consultants    Private Limited,10-14 Yrs,"Bengaluru, Hyderabad",Not disclosed,Business Solutions Fund Accounting Business Modeling Finance User Stories Functional Specifications Corporate Actions Business Process Analysis
177,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
178,Business Analyst + Asp.net  8-10y-pune-persistent,Persistent Systems Limited.,8-10 Yrs,Pune,Not disclosed,Entity Framework Core Functional Specifications Technical Design ASP.Net .Net MVC Business Analysis
179,RPA Business Analyst I Teksystems,Allegis Services India Pvt. Ltd.,3-6 Yrs,Bengaluru(Marathahalli +1),Not disclosed,rpa computer science information technology Business Analyst computer application documentation business analysis mca
180,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
181,Urgent Opening For Business analyst ( busineess development ),Focus Management Consultants Pvt Ltd.,0-3 Yrs,"Pune, Mumbai",Not disclosed,international sales inside sales international business development international marketing international sales executive software sales it solution sales it sales executive
182,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
183,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
184,Sr.Business Analyst,Valence Health,2-4 Yrs,Pune,Not disclosed,Statistical analysis Business Analyst Business analysis Reconciliation CMS business rules Healthcare Test cases
185,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
186,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Chennai,Not disclosed,Microstrategy Data analysis Change management Data management Business analysis Project management Gap analysis Visio
187,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
188,BA / Senior Business Analyst,Odessa Technologies,3-8 Yrs,Bengaluru,Not disclosed,ERP Bfsi MIS Consulting Agile Healthcare Scrum microsoft
189,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
190,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
191,Merilytics - Business Analyst - Data Analytics -iit/nit/bits,MERITUS INTELYTICS PRIVATE LIMITED,0-3 Yrs,Hyderabad,Not disclosed,excel analytics python data analysis business analysis problem solving sql statistics
192,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
193,Business Analyst,Philips India Limited,4-9 Yrs,Bengaluru,Not disclosed,Computer science Nutrition Business analysis Healthcare Support services HTML Scheduling medical records
194,Business Analyst with Health Care Domain,ITC Infotech India Ltd,3-5 Yrs,Bengaluru,"5,00,000 - 13,00,000 PA.",User Acceptance Testing Wireframing MS Visio Waterfall Brd UML User Stories Agile
195,Business Analyst - IAM,Capgemini Technology Services India Limited,3-6 Yrs,Bengaluru,Not disclosed,Process analysis cyber security Business Analyst Business analysis Information security Banking Risk analysis Financial services
196,Associate business analyst,BNP Paribas,1-3 Yrs,Chennai,Not disclosed,Fund accounting Wealth management Business Analyst Analytical IFS Capital market Asset management Operations
197,Senior Business Analyst,CGI Information Systems and Management Consultants    Private Limited,10-14 Yrs,"Bengaluru, Hyderabad",Not disclosed,Business Solutions Fund Accounting Business Modeling Finance User Stories Functional Specifications Corporate Actions Business Process Analysis
198,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
199,Business Analyst + Asp.net  8-10y-pune-persistent,Persistent Systems Limited.,8-10 Yrs,Pune,Not disclosed,Entity Framework Core Functional Specifications Technical Design ASP.Net .Net MVC Business Analysis
200,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
201,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
202,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
203,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
204,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
